Category,Product,Details,Link
"Security, Identity, & Compliance",AWS Artifact,On-demand access to AWS’ compliance reports,https://aws.amazon.com/artifact/?nc2=h_ql_prod_se_ar
"Security, Identity, & Compliance",AWS Audit Manager - NEW,Continuously audit your AWS usage,https://aws.amazon.com/audit-manager/?nc2=h_ql_prod_se_aud
"Security, Identity, & Compliance",AWS Certificate Manager,"Provision, manage, and deploy SSL/TLS certificates",https://aws.amazon.com/certificate-manager/?nc2=h_ql_prod_se_cm
"Security, Identity, & Compliance",AWS CloudHSM,Hardware-based key storage for regulatory compliance,https://aws.amazon.com/cloudhsm/?nc2=h_ql_prod_se_chsm
"Security, Identity, & Compliance",AWS Directory Service,Host and manage active directory,https://aws.amazon.com/directoryservice/?nc2=h_ql_prod_se_ds
"Security, Identity, & Compliance",AWS Firewall Manager,Central management of firewall rules,https://aws.amazon.com/firewall-manager/?nc2=h_ql_prod_se_fm
"Security, Identity, & Compliance",AWS Key Management Service,Managed creation and control of encryption keys,https://aws.amazon.com/kms/?nc2=h_ql_prod_se_kms
"Security, Identity, & Compliance",AWS Network Firewall,Network security to protect your VPCs,https://aws.amazon.com/network-firewall/?nc2=h_ql_prod_se_netf
"Security, Identity, & Compliance",AWS Resource Access Manager,"Simple, secure service to share AWS resources",https://aws.amazon.com/ram/?nc2=h_ql_prod_se_ram
"Security, Identity, & Compliance",AWS Secrets Manager,"Rotate, manage, and retrieve secrets",https://aws.amazon.com/secrets-manager/?nc2=h_ql_prod_se_sm
"Security, Identity, & Compliance",AWS Security Hub,Unified security and compliance center,https://aws.amazon.com/security-hub/?nc2=h_ql_prod_se_sh
"Security, Identity, & Compliance",AWS Shield,DDoS protection,https://aws.amazon.com/shield/?nc2=h_ql_prod_se_shi
"Security, Identity, & Compliance",AWS Single Sign-On,Cloud single sign-on (SSO) service,https://aws.amazon.com/single-sign-on/?nc2=h_ql_prod_se_sso
"Security, Identity, & Compliance",AWS WAF,Filter malicious web traffic,https://aws.amazon.com/waf/?nc2=h_ql_prod_se_waf
Serverless,AWS Lambda,Run code without thinking about servers,https://aws.amazon.com/lambda/?nc2=h_ql_prod_serv_lbd
Serverless,Amazon API Gateway,"Build, deploy, and manage API's",https://aws.amazon.com/api-gateway/?nc2=h_ql_prod_serv_apig
Serverless,Amazon DynamoDB,Managed NoSQL database,https://aws.amazon.com/dynamodb/?nc2=h_ql_prod_serv_ddb
Serverless,Amazon EventBridge,Serverless event bus for SaaS apps & AWS services,https://aws.amazon.com/eventbridge/?nc2=h_ql_prod_serv_eb
Serverless,Amazon Simple Notification Service (SNS),"Pub/sub, SMS, email, and mobile push notifications",https://aws.amazon.com/sns/?nc2=h_ql_prod_serv_sns
Serverless,Amazon Simple Queue Service (SQS),Managed message queues,https://aws.amazon.com/sqs/?nc2=h_ql_prod_serv_sqs
Serverless,Amazon Simple Storage Service (S3),Scalable storage in the cloud,https://aws.amazon.com/s3/?nc2=h_ql_prod_serv_s3
Serverless,AWS AppSync,"Power your apps with the right data from many sources, at scale",https://aws.amazon.com/appsync/?nc2=h_ql_prod_serv_apps
Serverless,AWS Fargate,Serverless compute for containers,https://aws.amazon.com/fargate/?nc2=h_ql_prod_serv_far
Serverless,AWS Step Functions,Coordination for distributed applications,https://aws.amazon.com/step-functions/?nc2=h_ql_prod_serv_stf
Storage,Amazon Simple Storage Service (S3),Scalable storage in the cloud,https://aws.amazon.com/s3/?nc2=h_ql_prod_st_s3
Storage,Amazon Elastic Block Store (EBS),EC2 block storage volumes,https://aws.amazon.com/ebs/?nc2=h_ql_prod_st_ebs
Storage,Amazon Elastic File System (EFS),Fully managed file system for EC2,https://aws.amazon.com/efs/?nc2=h_ql_prod_st_efs
Storage,Amazon FSx for Lustre,High-performance file system integrated with S3,https://aws.amazon.com/fsx/lustre/?nc2=h_ql_prod_st_fsxl
Storage,Amazon FSx for Windows File Server,Fully managed Windows native file system,https://aws.amazon.com/fsx/windows/?nc2=h_ql_prod_st_fsxw
Storage,Amazon S3 Glacier,Low-cost archive storage in the cloud,https://aws.amazon.com/glacier/?nc2=h_ql_prod_st_s3g
Storage,AWS Backup,Centralized backup across AWS services,https://aws.amazon.com/backup/?nc2=h_ql_prod_st_bu
Storage,AWS Snow Family,Physical edge computing and storage devices for rugged or disconnected environments,https://aws.amazon.com/snow/?nc2=h_ql_prod_st_sf
Storage,AWS Storage Gateway,Hybrid storage integration,https://aws.amazon.com/storagegateway/?nc2=h_ql_prod_st_sg
Storage,CloudEndure Disaster Recovery,Highly automated disaster recovery,https://aws.amazon.com/cloudendure-disaster-recovery/?nc2=h_ql_prod_st_cedr
AR & VR,Amazon Sumerian,Build and run AR and VR applications,https://aws.amazon.com/sumerian/?nc2=h_ql_prod_ar_sum
